city,local_date,aqi,pm2_5,pm10,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,shortwave_radiation,year,month,season,aqi_daily_change,aqi_change_rate_pct
faisalabad,2025-09-04,92.75,28.770833333333332,29.016666666666666,20.087500000000002,88.0,9.875,715.0,27.025000000000002,83.0,23.679166666666664,32.041666666666664,0.024999999999999998,0.024999999999999998,984.1125000000001,20.083333333333332,6.708333333333333,71.95833333333333,217.54166666666666,2025,9,Monsoon,3.5833333333333286,4.018691588785042
faisalabad,2025-09-05,108.0,46.7875,47.854166666666664,45.23333333333333,75.16666666666667,13.1875,1070.5,28.629166666666666,80.54166666666667,24.604166666666668,34.833333333333336,0.0,0.0,983.9125,11.458333333333334,3.2458333333333336,115.83333333333333,235.625,2025,9,Monsoon,15.25,16.442048517520217
faisalabad,2025-09-06,146.45833333333334,57.07916666666667,58.15833333333333,42.775,83.33333333333333,16.195833333333333,1209.0416666666667,29.270833333333332,77.45833333333333,24.77916666666667,35.199999999999996,0.016666666666666666,0.016666666666666666,984.0124999999999,55.208333333333336,4.395833333333333,145.70833333333334,158.83333333333334,2025,9,Monsoon,38.45833333333334,35.60956790123458
faisalabad,2025-09-07,125.08333333333333,32.300000000000004,32.71666666666667,22.087500000000002,75.58333333333333,10.233333333333333,754.3333333333334,28.004166666666666,84.16666666666667,24.995833333333334,33.62083333333333,0.07916666666666668,0.07916666666666668,983.5625,98.25,7.4125000000000005,78.91666666666667,133.75,2025,9,Monsoon,-21.375000000000014,-14.594594594594604
faisalabad,2025-09-08,86.91666666666667,30.708333333333332,30.875,20.608333333333334,74.83333333333333,7.7250000000000005,665.5,26.59583333333333,88.58333333333333,24.483333333333334,31.870833333333334,0.325,0.325,984.1291666666666,95.29166666666667,7.404166666666666,71.125,140.58333333333334,2025,9,Monsoon,-38.16666666666666,-30.512991339107252
faisalabad,2025-09-09,115.0,50.012499999999996,50.32916666666667,37.57083333333333,87.08333333333333,11.995833333333332,1107.25,28.099999999999998,85.08333333333333,25.183333333333334,34.49583333333333,0.020833333333333332,0.020833333333333332,985.6916666666666,16.541666666666668,3.9375,169.29166666666666,212.625,2025,9,Monsoon,28.08333333333333,32.310642377756466
faisalabad,2025-09-10,118.70833333333333,29.741666666666664,36.4625,19.583333333333332,80.0,8.933333333333334,587.6666666666666,29.183333333333334,76.875,24.491666666666664,34.6,0.0,0.0,984.3583333333332,2.25,7.8125,231.5,231.25,2025,9,Monsoon,3.7083333333333286,3.224637681159416
faisalabad,2025-09-11,90.625,33.454166666666666,41.637499999999996,19.837500000000002,77.66666666666667,10.316666666666666,457.5416666666667,28.608333333333334,79.41666666666667,24.554166666666664,34.11666666666667,0.0,0.0,982.7458333333334,3.4166666666666665,7.791666666666667,198.20833333333334,236.25,2025,9,Monsoon,-28.08333333333333,-23.657423657423653
faisalabad,2025-09-12,95.66666666666667,35.2875,40.895833333333336,27.670833333333334,62.541666666666664,8.9375,543.7083333333334,28.945833333333336,77.75,24.4375,34.4625,0.0,0.0,984.1374999999999,5.291666666666667,6.575,197.04166666666666,219.5,2025,9,Monsoon,5.041666666666671,5.563218390804603
faisalabad,2025-09-13,121.33333333333333,47.53333333333333,53.15416666666667,39.19166666666667,65.875,11.0875,670.1666666666666,29.8,74.79166666666667,24.5625,35.59166666666667,0.0,0.0,984.5916666666667,5.375,5.566666666666666,188.375,224.08333333333334,2025,9,Monsoon,25.666666666666657,26.82926829268292
